@relation dataset_evasao_v2

@attribute Media_Semestral_Notas numeric
@attribute Media_Disciplinas_Matriculadas numeric
@attribute Frequencia_Pct numeric
@attribute Reprovacoes numeric
@attribute Participa_Projetos {Sim,Nao}
@attribute Recebe_Auxilio {Nao,Sim}
@attribute Idade_Ingresso numeric
@attribute Trabalha {Sim,Nao}
@attribute Dia_Matricula {Quinta,Sexta,Terca,Quarta,Segunda}
@attribute Evasao {Sim,Nao}

@data
1.9,1,63,3,Sim,Nao,45,Sim,Quinta,Sim
9.1,7,87,0,Sim,Sim,18,Sim,Sexta,Nao
9.5,8,86,0,Sim,Sim,36,Sim,Terca,Nao
8.2,5,93,0,Sim,Nao,36,Sim,Terca,Sim
9.9,6,-11,0,Sim,Nao,20,Nao,Terca,Nao
3.5,4,75,2,Sim,Sim,28,Sim,Terca,Nao
2.7,1,46,4,Nao,Nao,35,Sim,Sexta,Sim
?,2,63,5,Nao,Nao,30,Sim,Quinta,Sim
8.2,8,100,0,Sim,Nao,43,Sim,Terca,Sim
1,3,57,4,Sim,Nao,32,Sim,Quarta,Sim
8.2,5,99,0,Sim,Sim,44,Sim,Terca,Sim
0.8,5,76,3,Nao,Sim,39,Sim,Segunda,Nao
7.3,8,97,0,Sim,Sim,38,Nao,Terca,Nao
3.4,6,82,4,Nao,Sim,28,Sim,Quarta,Nao
0.3,2,49,5,Nao,Nao,35,Sim,Segunda,Sim
3.7,1,46,4,Nao,Nao,38,Sim,Terca,Sim
2.2,6,79,3,Sim,Sim,?,Sim,Segunda,Nao
8.7,5,98,0,Sim,Nao,25,Nao,Quinta,Sim
9.6,8,88,0,Sim,Nao,24,Nao,Quarta,Nao
9.3,8,97,0,Sim,Nao,41,Sim,Terca,Sim
3.4,1,49,6,Sim,Nao,27,Sim,Sexta,Sim
4.4,3,65,6,Nao,Nao,40,Sim,Quarta,Sim
0.8,4,76,5,Sim,Sim,41,Sim,Segunda,Nao
2.9,2,42,6,Sim,Nao,20,Sim,Quinta,Sim
1.9,3,86,2,Nao,Sim,20,Sim,Sexta,Nao
1.3,3,77,5,Nao,Sim,22,Sim,Quarta,Nao
4.3,2,46,3,Nao,Nao,20,Sim,Quarta,Sim
7.7,7,-4,0,Sim,Nao,33,Sim,Terca,Nao
0.1,6,83,5,Nao,Sim,38,Sim,Terca,Nao
?,1,50,7,Sim,Nao,27,Sim,Segunda,Sim
4.5,3,75,5,Sim,Sim,35,Sim,Quarta,Nao
9.9,6,99,0,Sim,Sim,27,Nao,Segunda,Nao
