@relation 'dataset_evasao_v2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.MathExpression-Eifelse (A < 0, 0, A)-unset-class-temporarily-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max61.5-max-defaultNaN-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R7-decimals-1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-Lfirst-last-M-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R7-precision6'

@attribute Media_Semestral_Notas numeric
@attribute Media_Disciplinas_Matriculadas numeric
@attribute Frequencia_Pct numeric
@attribute Reprovacoes numeric
@attribute Participa_Projetos {Sim,Nao}
@attribute Recebe_Auxilio {Nao,Sim}
@attribute Idade_Ingresso {'\'(-inf-24]\'','\'(24-31]\'','\'(31-38]\'','\'(38-inf)\''}
@attribute Trabalha {Sim,Nao}
@attribute Evasao {Sim,Nao}

@data
1.9,1,63,3,Sim,Nao,'\'(38-inf)\'',Sim,Sim
9.1,7,87,0,Sim,Sim,'\'(-inf-24]\'',Sim,Nao
9.5,8,86,0,Sim,Sim,'\'(31-38]\'',Sim,Nao
8.2,5,93,0,Sim,Nao,'\'(31-38]\'',Sim,Sim
9.9,6,0,0,Sim,Nao,'\'(-inf-24]\'',Nao,Nao
3.5,4,75,2,Sim,Sim,'\'(24-31]\'',Sim,Nao
2.7,1,46,4,Nao,Nao,'\'(31-38]\'',Sim,Sim
5.568211,2,63,5,Nao,Nao,'\'(24-31]\'',Sim,Sim
8.2,8,100,0,Sim,Nao,'\'(38-inf)\'',Sim,Sim
1,3,57,4,Sim,Nao,'\'(31-38]\'',Sim,Sim
8.2,5,99,0,Sim,Sim,'\'(38-inf)\'',Sim,Sim
0.8,5,76,3,Nao,Sim,'\'(38-inf)\'',Sim,Nao
7.3,8,97,0,Sim,Sim,'\'(31-38]\'',Nao,Nao
3.4,6,82,4,Nao,Sim,'\'(24-31]\'',Sim,Nao
0.3,2,49,5,Nao,Nao,'\'(31-38]\'',Sim,Sim
3.7,1,46,4,Nao,Nao,'\'(31-38]\'',Sim,Sim
2.2,6,79,3,Sim,Sim,'\'(31-38]\'',Sim,Nao
8.7,5,98,0,Sim,Nao,'\'(24-31]\'',Nao,Sim
9.6,8,88,0,Sim,Nao,'\'(-inf-24]\'',Nao,Nao
9.3,8,97,0,Sim,Nao,'\'(38-inf)\'',Sim,Sim
3.4,1,49,6,Sim,Nao,'\'(24-31]\'',Sim,Sim
4.4,3,65,6,Nao,Nao,'\'(38-inf)\'',Sim,Sim
0.8,4,76,5,Sim,Sim,'\'(38-inf)\'',Sim,Nao
2.9,2,42,6,Sim,Nao,'\'(-inf-24]\'',Sim,Sim
1.9,3,86,2,Nao,Sim,'\'(-inf-24]\'',Sim,Nao
1.3,3,77,5,Nao,Sim,'\'(-inf-24]\'',Sim,Nao
4.3,2,46,3,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
7.7,7,0,0,Sim,Nao,'\'(31-38]\'',Sim,Nao
0.1,6,83,5,Nao,Sim,'\'(31-38]\'',Sim,Nao
5.568211,1,50,7,Sim,Nao,'\'(24-31]\'',Sim,Sim
4.5,3,75,5,Sim,Sim,'\'(31-38]\'',Sim,Nao
9.9,6,99,0,Sim,Sim,'\'(24-31]\'',Nao,Nao
1,1,50,3,Nao,Nao,'\'(-inf-24]\'',Sim,Sim
7.9,5,80,0,Sim,Sim,'\'(31-38]\'',Sim,Nao
9.7,5,86,0,Sim,Nao,'\'(31-38]\'',Sim,Nao
8.1,8,94,0,Sim,Nao,'\'(38-inf)\'',Sim,Nao
2.1,3,79,5,Nao,Sim,'\'(38-inf)\'',Sim,Nao
7.7,6,89,0,Sim,Sim,'\'(-inf-24]\'',Nao,Nao
3.1,4,76,3,Sim,Sim,'\'(31-38]\'',Sim,Nao
